301,12.13.22,1202011,SINUNUKAN,1213
302,12.13.13,1202020,BATANG NATAL,1213
303,12.13.14,1202021,LINGGA BAYU,1213
304,12.13.18,1202022,RANTO BAEK,1213
305,12.13.08,1202030,KOTANOPAN,1213
306,12.13.11,1202031,ULU PUNGKUT,1213
307,12.13.10,1202032,TAMBANGAN,1213
308,12.13.09,1202033,LEMBAH SORIK MARAPI,1213
309,12.13.20,1202034,PUNCAK SORIK MARAPI,1213
310,12.13.12,1202040,MUARA SIPONGI,1213
311,12.13.21,1202041,PAKANTAN,1213
312,12.13.01,1202050,PANYABUNGAN,1213
313,12.13.04,1202051,PANYABUNGAN SELATAN,1213
314,12.13.05,1202052,PANYABUNGAN BARAT,1213
315,12.13.02,1202053,PANYABUNGAN UTARA,1213
316,12.13.03,1202054,PANYABUNGAN TIMUR,1213
317,12.13.19,1202055,HUTA BARGOT,1213
318,12.13.16,1202060,NATAL,1213
319,12.13.17,1202070,MUARA BATANG GADIS,1213
320,12.13.06,1202080,SIABU,1213
321,12.13.07,1202081,BUKIT MALINTANG,1213
322,12.13.23,1202082,NAGA JUANG,1213
323,12.03.07,1203010,BATANG ANGKOLA,1203
324,12.03.21,1203011,SAYUR MATINGGI,1203
325,12.03.30,1203012,TANO TOMBANGAN ANGKOLA,1203
326,12.03.03,1203070,ANGKOLA TIMUR,1203
327,12.03.06,1203080,ANGKOLA SELATAN,1203
328,12.03.01,1203090,ANGKOLA BARAT,1203
329,12.03.31,1203091,ANGKOLA SANGKUNUR,1203
330,12.03.02,1203100,BATANG TORU,1203
331,12.03.20,1203101,MARANCAR,1203
332,12.03.29,1203102,MUARA BATANG TORU,1203
333,12.03.04,1203110,SIPIROK,1203
334,12.03.14,1203120,ARSE,1203
335,12.03.05,1203160,SAIPAR DOLOK HOLE,1203
336,12.03.22,1203161,AEK BILAH,1203
337,12.01.04,1204010,PINANGSORI,1201
338,12.01.15,1204011,BADIRI,1201
339,12.01.08,1204020,SIBABANGUN,1201
340,12.01.19,1204021,LUMUT,1201
341,12.01.18,1204022,SUKA BANGUN,1201
342,12.01.03,1204030,PANDAN,1201
343,12.01.14,1204031,TUKKA,1201
344,12.01.20,1204032,SARUDIK,1201
345,12.01.07,1204040,TAPIAN NAULI,1201
346,12.01.13,1204041,SITAHUIS,1201
347,12.01.06,1204050,KOLANG,1201
348,12.01.02,1204060,SORKAM,1201
349,12.01.10,1204061,SORKAM BARAT,1201
350,12.01.16,1204062,PASARIBU TOBING,1201
351,12.01.01,1204070,BARUS,1201
352,12.01.09,1204071,SOSORGADONG,1201
353,12.01.12,1204072,ANDAM DEWI,1201
354,12.01.17,1204073,BARUS UTARA,1201
355,12.01.05,1204080,MANDUAMAS,1201
356,12.01.11,1204081,SIRANDORUNG,1201
357,12.02.11,1205030,PARMONANGAN,1202
358,12.02.03,1205040,ADIAN KOTING,1202
359,12.02.04,1205050,SIPOHOLON,1202
360,12.02.01,1205060,TARUTUNG,1202
361,12.02.02,1205061,SIATAS BARITA,1202
362,12.02.05,1205070,PAHAE JULU,1202
363,12.02.06,1205080,PAHAE JAE,1202
364,12.02.08,1205081,PURBA TUA,1202
365,12.02.07,1205082,SIMANGUMBAN,1202
366,12.02.13,1205090,PANGARIBUAN,1202
367,12.02.14,1205100,GAROGA,1202
368,12.02.12,1205110,SIPAHUTAR,1202
369,12.02.09,1205120,SIBORONG-BORONG,1202
370,12.02.10,1205130,PAGARAN,1202
371,12.02.15,1205180,MUARA,1202
372,12.12.01,1206030,BALIGE,1212
373,12.12.22,1206031,TAMPAHAN,1212
374,12.12.02,1206040,LAGUBOTI,1212
375,12.12.04,1206050,HABINSARAN,1212
376,12.12.06,1206051,BORBOR,1212
377,12.12.21,1206052,NASSAU,1212
378,12.12.03,1206060,SILAEN,1212
379,12.12.19,1206061,SIGUMPAR,1212
380,12.12.07,1206070,PORSEA,1212
381,12.12.05,1206071,PINTU POHAN MERANTI,1212
382,12.12.20,1206072,SIANTAR NARUMONDA,1212
383,12.12.24,1206073,PARMAKSIAN,1212
384,12.12.09,1206080,LUMBAN JULU,1212
385,12.12.10,1206081,ULUAN,1212
386,12.12.08,1206082,AJIBATA,1212
387,12.12.23,1206083,BONATUA LUNASI,1212
388,12.10.09,1207050,BILAH HULU,1210
389,12.10.14,1207070,PANGKATAN,1210
390,12.10.07,1207080,BILAH BARAT,1210
391,12.10.08,1207130,BILAH HILIR,1210
392,12.10.20,1207140,PANAI HULU,1210
393,12.10.18,1207150,PANAI TENGAH,1210
394,12.10.19,1207160,PANAI HILIR,1210
395,12.10.02,1207210,RANTAU SELATAN,1210
396,12.10.01,1207220,RANTAU UTARA,1210
397,12.09.17,1208010,BANDAR PASIR MANDOGE,1209
398,12.09.15,1208020,BANDAR PULAU,1209
399,12.09.21,1208021,AEK SONGSONGAN,1209
400,12.09.22,1208022,RAHUNIG,1209
401,12.09.14,1208030,PULAU RAKYAT,1209
402,12.09.18,1208031,AEK KUASAN,1209
403,12.09.32,1208032,AEK LEDONG,1209
404,12.09.11,1208040,SEI KEPAYANG,1209
405,12.09.24,1208041,SEI KEPAYANG BARAT,1209
406,12.09.25,1208042,SEI KEPAYANG TIMUR,1209
407,12.09.10,1208050,TANJUNG BALAI,1209
408,12.09.12,1208060,SIMPANG EMPAT,1209
409,12.09.31,1208061,TELUK DALAM,1209
410,12.09.13,1208070,AIR BATU,1209
411,12.09.23,1208071,SEI DADAP,1209
412,12.09.16,1208080,BUNTU PANE,1209
413,12.09.26,1208081,TINGGI RAJA,1209
414,12.09.27,1208082,SETIA JANJI,1209
415,12.09.08,1208090,MERANTI,1209
416,12.09.30,1208091,PULO BANDRING,1209
417,12.09.29,1208092,RAWANG PANCA ARGA,1209
418,12.09.09,1208100,AIR JOMAN,1209
419,12.09.28,1208101,SILAU LAUT,1209
420,12.09.19,1208160,KOTA KISARAN BARAT,1209
421,12.09.20,1208170,KOTA KISARAN TIMUR,1209
422,12.08.25,1209010,SILIMAKUTA,1208
423,12.08.31,1209011,PAMATANG SILIMA HUTA,1208
424,12.08.14,1209020,PURBA,1208
425,12.08.15,1209021,HARANGGAOL HORISON,1208
426,12.08.09,1209040,SIDAMANIK,1208
427,12.08.10,1209041,PEMATANG SIDAMANIK,1208
428,12.08.16,1209050,GIRSANG SIPANGAN BOLON,1208
429,12.08.11,1209060,TANAH JAWA,1208
430,12.08.12,1209061,HATONDUHAN,1208
431,12.08.13,1209070,DOLOK PANRIBUAN,1208
432,12.08.06,1209080,JORLANG HATARAN,1208
433,12.08.04,1209090,PANEI,1208
434,12.08.05,1209091,PANOMBEIAN PANE,1208
435,12.08.29,1209100,RAYA,1208
436,12.08.32,1209101,DOLOG MASAGAL,1208
437,12.08.26,1209110,DOLOK SILAU,1208
438,12.08.27,1209120,SILOU KAHEAN,1208
439,12.08.07,1209130,RAYA KAHEAN,1208
440,12.08.28,1209140,TAPIAN DOLOK,1208
441,12.08.17,1209150,DOLOK BATU NANGGAR,1208
442,12.08.01,1209160,SIANTAR,1208
443,12.08.02,1209161,GUNUNG MALELA,1208
444,12.08.03,1209162,GUNUNG MALIGAS,1208
445,12.08.18,1209170,HUTA BAYU RAJA,1208
446,12.08.19,1209171,JAWA MARAJA BAH JAMBI,1208
447,12.08.21,1209180,PEMATANG BANDAR,1208
448,12.08.22,1209181,BANDAR HULUAN,1208
449,12.08.23,1209190,BANDAR,1208
450,12.08.24,1209191,BANDAR MASILAM,1208
451,12.08.08,1209200,BOSAR MALIGAS,1208
452,12.08.30,1209210,UJUNG PADANG,1208
453,12.11.01,1210030,SIDIKALANG,1211
454,12.11.13,1210031,BERAMPU,1211
455,12.11.15,1210032,SITINJO,1211
456,12.11.10,1210040,PARBULUAN,1211
457,12.11.02,1210050,SUMBUL,1211
458,12.11.14,1210051,SILAHISABUNGAN,1211
459,12.11.05,1210060,SILIMA PUNGGA PUNGGA,1211
460,12.11.11,1210061,LAE PARIRA,1211
461,12.11.04,1210070,SIEMPAT NEMPU,1211
462,12.11.07,1210080,SIEMPAT NEMPU HULU,1211
463,12.11.08,1210090,SIEMPAT NEMPU HILIR,1211
464,12.11.03,1210100,TIGALINGGA,1211
465,12.11.12,1210101,GUNUNG SITEMBER,1211
466,12.11.09,1210110,PEGAGAN HILIR,1211
467,12.11.06,1210120,TANAH PINEM,1211
468,12.06.10,1211010,MARDINGDING,1206
469,12.06.09,1211020,LAUBALENG,1206
470,12.06.08,1211030,TIGABINANGA,1206
471,12.06.07,1211040,JUHAR,1206
472,12.06.06,1211050,MUNTE,1206
473,12.06.13,1211060,KUTABULUH,1206
474,12.06.11,1211070,PAYUNG,1206
475,12.06.17,1211071,TIGANDERKET,1206
476,12.06.12,1211080,SIMPANG EMPAT,1206
477,12.06.16,1211081,NAMAN TERAN,1206
478,12.06.15,1211082,MERDEKA,1206
479,12.06.01,1211090,KABANJAHE,1206
480,12.06.02,1211100,BERASTAGI,1206
481,12.06.04,1211110,TIGAPANAH,1206
482,12.06.14,1211111,DOLAT RAYAT,1206
483,12.06.05,1211120,MEREK,1206
484,12.06.03,1211130,BARUSJAHE,1206
485,12.07.01,1212010,GUNUNG MERIAH,1207
486,12.07.20,1212020,STM HULU,1207
487,12.07.03,1212030,SIBOLANGIT,1207
488,12.07.04,1212040,KUTALIMBARU,1207
489,12.07.05,1212050,PANCUR BATU,1207
490,12.07.06,1212060,NAMORAMBE,1207
491,12.07.07,1212070,SIBIRU-BIRU,1207
492,12.07.08,1212080,STM HILIR,1207
493,12.07.09,1212090,BANGUN PURBA,1207
494,12.07.19,1212190,GALANG,1207
495,12.07.02,1212200,TANJUNG MORAWA,1207
496,12.07.21,1212210,PATUMBAK,1207
497,12.07.22,1212220,DELI TUA,1207
498,12.07.23,1212230,SUNGGAL,1207
499,12.07.24,1212240,HAMPARAN PERAK,1207
500,12.07.25,1212250,LABUHAN DELI,1207
501,12.07.26,1212260,PERCUT SEI TUAN,1207
502,12.07.27,1212270,BATANG KUIS,1207
503,12.07.32,1212280,PANTAI LABU,1207
504,12.07.33,1212290,BERINGIN,1207
505,12.07.28,1212300,LUBUK PAKAM,1207
506,12.07.31,1212310,PAGAR MERBAU,1207
507,12.05.01,1213010,BAHOROK,1205
508,12.05.21,1213011,SIRAPIT,1205
509,12.05.02,1213020,SALAPIAN,1205
510,12.05.22,1213021,KUTAMBARU,1205
511,12.05.04,1213030,SEI BINGEI,1205
512,12.05.03,1213040,KUALA,1205
513,12.05.06,1213050,SELESAI,1205
514,12.05.05,1213060,BINJAI,1205
515,12.05.07,1213070,STABAT,1205
516,12.05.08,1213080,WAMPU,1205
517,12.05.19,1213090,BATANG SERANGAN,1205
518,12.05.20,1213100,SAWIT SEBERANG,1205
519,12.05.12,1213110,PADANG TUALANG,1205
520,12.05.10,1213120,HINAI,1205
521,12.05.09,1213130,SECANGGANG,1205
522,12.05.11,1213140,TANJUNG PURA,1205
523,12.05.13,1213150,GEBANG,1205
524,12.05.14,1213160,BABALAN,1205
525,12.05.17,1213170,SEI LEPAN,1205
526,12.05.18,1213180,BERANDAN BARAT,1205
527,12.05.16,1213190,BESITANG,1205
528,12.05.15,1213200,PANGKALAN SUSU,1205
529,12.05.23,1213201,PEMATANG JAYA,1205
530,12.14.04,1214010,HIBALA,1214
531,12.14.31,1214011,TANAH MASA,1214
532,12.14.05,1214020,PULAU-PULAU BATU,1214
533,12.14.16,1214021,PULAU-PULAU BATU TIMUR,1214
534,12.14.28,1214022,SIMUK,1214
535,12.14.29,1214023,PULAU-PULAU BATU BARAT,1214
536,12.14.30,1214024,PULAU-PULAU BATU UTARA,1214
537,12.14.06,1214030,TELUK DALAM,1214
538,12.14.18,1214031,FANAYAMA,1214
539,12.14.12,1214032,TOMA,1214
540,12.14.10,1214033,MANIAMOLO,1214
541,12.14.13,1214034,MAZINO,1214
542,12.14.32,1214035,LUAHAGUNDRE MANIAMOLO,1214
543,12.14.33,1214036,ONOLALU,1214
544,12.14.07,1214040,AMANDRAYA,1214
